Consortium,min,25%,50%,75%,max,mean,std
ardc,11.0%,19.0%,24.0%,30.0%,46.0%,25.0%,9.0%
blco,6.0%,20.0%,23.0%,29.0%,61.0%,24.0%,8.0%
cdlco,12.0%,14.0%,16.0%,17.0%,21.0%,16.0%,3.0%
cevl,10.0%,25.0%,31.0%,41.0%,51.0%,32.0%,10.0%
cgqg,29.0%,35.0%,35.0%,38.0%,40.0%,35.0%,4.0%
clarinco,15.0%,15.0%,15.0%,22.0%,30.0%,20.0%,8.0%
cnpq,15.0%,16.0%,20.0%,22.0%,38.0%,21.0%,7.0%
cruico,12.0%,18.0%,21.0%,23.0%,48.0%,22.0%,7.0%
cscco,11.0%,15.0%,21.0%,27.0%,29.0%,21.0%,7.0%
daraco,13.0%,18.0%,24.0%,29.0%,43.0%,24.0%,7.0%
dcan,11.0%,18.0%,22.0%,27.0%,41.0%,23.0%,7.0%
deicco,11.0%,17.0%,19.0%,26.0%,31.0%,21.0%,5.0%
delftco,11.0%,20.0%,24.0%,29.0%,36.0%,24.0%,6.0%
doinzco,12.0%,15.0%,18.0%,24.0%,30.0%,20.0%,6.0%
escireco,19.0%,21.0%,23.0%,29.0%,39.0%,25.0%,5.0%
estdoico,13.0%,18.0%,23.0%,25.0%,39.0%,22.0%,6.0%
ethzco,12.0%,16.0%,18.0%,21.0%,47.0%,20.0%,6.0%
eudatco,20.0%,23.0%,25.0%,28.0%,40.0%,27.0%,6.0%
fctco,13.0%,20.0%,23.0%,25.0%,46.0%,23.0%,5.0%
fsco,21.0%,27.0%,29.0%,31.0%,37.0%,29.0%,3.0%
gdccco,10.0%,17.0%,21.0%,27.0%,45.0%,23.0%,8.0%
ggbc,17.0%,19.0%,20.0%,24.0%,32.0%,22.0%,5.0%
hbzco,13.0%,20.0%,24.0%,26.0%,43.0%,24.0%,6.0%
hlco,14.0%,21.0%,22.0%,24.0%,33.0%,22.0%,4.0%
inistco,13.0%,19.0%,23.0%,29.0%,52.0%,25.0%,8.0%
irje,15.0%,17.0%,18.0%,20.0%,22.0%,19.0%,4.0%
irlco,15.0%,19.0%,22.0%,25.0%,32.0%,23.0%,5.0%
jalcco,16.0%,23.0%,26.0%,27.0%,32.0%,25.0%,5.0%
knjf,28.0%,30.0%,32.0%,34.0%,36.0%,32.0%,6.0%
luay,39.0%,39.0%,39.0%,39.0%,39.0%,39.0%,nan%
lyrasis,11.0%,22.0%,26.0%,33.0%,39.0%,27.0%,8.0%
mshm,36.0%,36.0%,36.0%,36.0%,36.0%,36.0%,nan%
mtakikco,10.0%,13.0%,15.0%,16.0%,36.0%,16.0%,4.0%
nasaco,12.0%,23.0%,25.0%,27.0%,43.0%,25.0%,8.0%
nrct,15.0%,22.0%,24.0%,27.0%,31.0%,24.0%,5.0%
nsql,17.0%,20.0%,22.0%,24.0%,28.0%,22.0%,3.0%
oaem,12.0%,16.0%,18.0%,25.0%,34.0%,21.0%,6.0%
orbisco,12.0%,13.0%,17.0%,23.0%,36.0%,21.0%,9.0%
ostico,16.0%,19.0%,22.0%,25.0%,34.0%,23.0%,5.0%
pgpg,19.0%,21.0%,25.0%,28.0%,37.0%,26.0%,7.0%
psncco,12.0%,17.0%,22.0%,27.0%,34.0%,22.0%,6.0%
qcqq,18.0%,36.0%,37.0%,39.0%,45.0%,36.0%,5.0%
radntco,18.0%,18.0%,18.0%,18.0%,18.0%,18.0%,0.0%
rlfe,28.0%,32.0%,34.0%,35.0%,38.0%,33.0%,3.0%
sndco,12.0%,20.0%,31.0%,36.0%,47.0%,29.0%,10.0%
spbpuco,9.0%,16.0%,19.0%,23.0%,32.0%,20.0%,6.0%
subgoeco,13.0%,17.0%,20.0%,24.0%,34.0%,21.0%,5.0%
tdlco,11.0%,17.0%,20.0%,22.0%,24.0%,19.0%,5.0%
teyq,14.0%,16.0%,18.0%,19.0%,32.0%,19.0%,5.0%
tibco,10.0%,19.0%,23.0%,27.0%,48.0%,24.0%,6.0%
tindco,17.0%,18.0%,21.0%,23.0%,40.0%,22.0%,6.0%
tuwienco,3.0%,21.0%,25.0%,28.0%,38.0%,24.0%,6.0%
txvt,3.0%,15.0%,19.0%,23.0%,46.0%,20.0%,6.0%
uchile,11.0%,18.0%,21.0%,25.0%,42.0%,23.0%,9.0%
unitco,12.0%,15.0%,18.0%,27.0%,35.0%,21.0%,7.0%
up,13.0%,16.0%,19.0%,22.0%,25.0%,19.0%,8.0%
usgsco,15.0%,19.0%,23.0%,28.0%,34.0%,24.0%,6.0%
uujz,20.0%,20.0%,20.0%,20.0%,20.0%,20.0%,nan%
viennaco,11.0%,20.0%,24.0%,29.0%,43.0%,26.0%,10.0%
vivaco,13.0%,14.0%,18.0%,23.0%,33.0%,20.0%,6.0%
vnsf,12.0%,19.0%,20.0%,24.0%,37.0%,22.0%,8.0%
xvdz,14.0%,16.0%,18.0%,20.0%,22.0%,18.0%,5.0%
xxgr,19.0%,22.0%,25.0%,30.0%,36.0%,26.0%,7.0%
yjtm,22.0%,25.0%,26.0%,27.0%,33.0%,26.0%,3.0%
zbmedco,12.0%,18.0%,21.0%,26.0%,52.0%,23.0%,7.0%
zixd,22.0%,22.0%,22.0%,22.0%,22.0%,22.0%,nan%
